brand,display,graphic,hdd,link,name,price,processor,ram
,,,,,,,,
acer, 14'' HD Acer CineCrystal LED Display, Intel HD Graphic ,500.0,http://www.linnonlinestore.com/acer-aspire-e5-476-i3-laptop/,acer aspire e5-476 (i3) laptop ,"576,000 ", 8th Generation Intel Core i3,  4
,,,,,,,,
acer, 14'' HD Acer CineCrystal LED Display, Intel HD Graphic ,500.0,http://www.linnonlinestore.com/acer-aspire-e5-476-i3-laptop/?setCurrencyId=2,acer aspire e5-476 (i3) laptop ,614880.0, 8th Generation Intel Core i3,  4
,,,,,,,,
acer, 14'' HD Acer CineCrystal LED Display, Intel HD Graphic ,500.0,http://www.linnonlinestore.com/acer-aspire-e5-476-i3-laptop/?setCurrencyId=1,acer aspire e5-476 (i3) laptop ,"576,000 ", 8th Generation Intel Core i3,  4
,,,,,,,,
dell, 13.3'HD Display(3200x1800),"Intel HD Graphics ,Window 10 Pro Licenses",256.0,http://www.linnonlinestore.com/dell-inspiron-xps-13-9370-i7/,dell inspiron xps 13 (9370) i7,"2,545,000 ", 8th Generation Intel Core i7, 8
,,,,,,,,
acer,"15.6"" HD Acer ComfyView LCD",Nvidia Geforce Mx130 2GB VRAM,1024,http://www.linnonlinestore.com/acer-aspire-e5-476g-i5-laptop/,acer aspire e5-476g ( i5) laptop,"840,000",8th Generation Intel Core i5,4
,,,,,,,,
acer,  14'' FHD IPS LCD with glass,  Nvidia Geforce Mx150 2GB,512.0,http://www.linnonlinestore.com/acer-aspire-swift-3-i5-7th-laptop/,acer aspire swift 3 (i5) 7th  laptop ,"1,363,000 ", 7th Generation Intel Core i5,  8
,,,,,,,,
acer,"15.6"" HD Acer ComfyView LCD",Nvidia Geforce Mx130 2GB VRAM,1024,http://www.linnonlinestore.com/acer-aspire-e5-476g-i5-laptop/?setCurrencyId=2,acer aspire e5-476g ( i5) laptop,896700.0,8th Generation Intel Core i5,4
,,,,,,,,
acer,"15.6"" HD Acer ComfyView LCD",Nvidia Geforce Mx130 2GB VRAM,1024,http://www.linnonlinestore.com/acer-aspire-e5-476g-i5-laptop/?setCurrencyId=1,acer aspire e5-476g ( i5) laptop,"840,000",8th Generation Intel Core i5,4
,,,,,,,,
dell," 15.6"" Full HD Display 1920x1080", AMD Graphics 4GB DDR5,2048,http://www.linnonlinestore.com/dell-inspiron-5570-i5-8th-gen/,dell inspiron 5570 (i5)8th gen,"1,211,000 ", 8th Generation Intel Core i5, 4
,,,,,,,,
lenovo,15.6'' AntiGlare HD Display,Nvidia MX150 4GB,1000.0,http://www.linnonlinestore.com/lenovo-ideapad-330-i5-8th/,lenovo ideapad 330 i5 8th,1035475.0,8th Generation Intel Core i5,4
,,,,,,,,
lenovo,"15.6""HD Anti-Glare Display",AMD Radeon 530 2GB DDR5,1024,http://www.linnonlinestore.com/lenovo-ideapad-330-i3-8th/,lenovo ideapad 330 i3 8th,678930.0,8th Generation Intel Core i3,4
,,,,,,,,
lenovo,15.6'' HD Display,AMD Radeon 530 2GB,1024,http://www.linnonlinestore.com/lenovo-ideapad-330-i5-15-6/,"lenovo ideapad 330 (i5) 15.6""",1036336,8th Generation Intel Core i5,4
,,,,,,,,
hp,14” diagonal HD Display,AMD Radeon R520 (2GB),1024,http://www.linnonlinestore.com/hp-14-ck00003tx-i7-8th-gen-laptop/,hp 14-ck00003tx i7 8th gen laptop,1212680.0,8th Generation Intel Core i7,8
,,,,,,,,
hp,"15.6"" diagonal HD WLED-backlit",AMD Radeon 530 4GB Graphics,1024,http://www.linnonlinestore.com/hp-15-cu-0009tx-i7-laptop/,hp 15-cu 0009tx i7 laptop,1361062.5,8th Generation Intel Core™ i,8
,,,,,,,,
lenovo,"15.6""HD Anti-Glare Display",AMD Radeon 530 2GB DDR5,1024,http://www.linnonlinestore.com/lenovo-ideapad-330-i3-8th/?setCurrencyId=2,lenovo ideapad 330 i3 8th,678930.0,8th Generation Intel Core i3,4
,,,,,,,,
lenovo,14'' HD Display,15.6� FHD LED (1920x1080) 60Hz Anti-Glare,1024,http://www.linnonlinestore.com/lenovo-ideapad130-i3-7th/,lenovo ideapad130 i3 7th,699212.5,7th Generation Intel Core i3,4
,,,,,,,,
asus,15.6� FHD LED (1920x1080) 60Hz Anti-Glare,Nvidia Geforce MX 150 (4GB) GDDR5 VRAM,1024,http://www.linnonlinestore.com/asus-x542un-i7-laptop/,asus x542un (i7) laptop,1277797.5,8th Generation Intel Core i7,8
,,,,,,,,
hp,"15.6"" Display",AMD Radeon 530 2GB DDR5,1024,http://www.linnonlinestore.com/hp-15-cu0008tx-i7-laptop/,hp 15-cu0008tx (i7) laptop,1287405.0,8th Generation Intel Core™ i,8
,,,,,,,,
lenovo,14'' HD Display,AMD Radeon 530 2GB,1024,http://www.linnonlinestore.com/lenovo-ideapad130-i3-7th/?setCurrencyId=2,lenovo ideapad130 i3 7th,699212.5,7th Generation Intel Core i3,4
,,,,,,,,
